Long,Lat,Name
80.280388,13.105689,V. Nagar
80.1378236,12.9431868,Bus Parking Sitlapakkam
80.2372186,12.9832018,Metropolitan Transport Corporation Ltd
80.2358992,13.1967186,Sendrampakkam bus stop
80.203709,12.818377,Pillaiyar Koil Street
80.2261447,13.0220598,Saidapet east bus stop
80.241435,13.126584,Simpson
80.1988661,13.0704777,MSS BUS Ticket Office
80.248723,13.046981,DMS
80.274048,13.0819,Park Station
80.2554436,13.0564273,Anna Auto Stand
80.2433945,13.0642551,Sterling Road
80.170928,12.92001,Santhosapuram
80.2193141,13.1260504,Moogambigai Bus Stop
80.2593662,13.0794274,YWCA Bus Stop
80.0804118,12.8807827,Vandalur Bus Stand
80.1172147,12.9263188,Tambaram Subway
80.249359,13.055149,M.O.P Vaishnava College
80.219216,12.971069,Velachery Railway Station
80.0566794,13.0557169,Bus stand Thirumazhisai
80.2784911,13.1175807,Paradise Chennai UP Transport
80.2416517,12.9919666,Kanagam Bus Stop
80.275563,13.081651,Chennai Central
80.2462699,13.0202017,Kottur Garden Auto Stand
80.216007,12.96382,Chennai
80.2049455,13.0655745,K.S.R.T.C Advance Ticket Reservation Centre
80.236478,13.121815,Pallavan Salai
80.249653,13.055004,Ispahani Center
80.200359,13.07401,Vijayakanth Kalayana Mandapam
80.2689168,12.9987336,Siyan Vikram Auto Stand
80.2705236,13.0848243,Paradise Delhi Chennai Transport
80.2763806,13.1045066,Mint Bus Stop
80.242127,13.098513,Ayanavaram Bus Depot
80.2929593,13.1762561,LPF AUTO STAND SHANMUGAPURAM
80.2604262,13.0332889,Auto Stand
80.1503658,13.1194501,Ambattur OT Auto Stand
80.1990058,13.0697977,MRM Travels
80.272968,13.081198,Central Metro
80.240098,13.083673,Kellys / Bharathiya Vidhya Bhawan
80.2749474,13.0819083,Auto Taxi Stand
80.2617149,13.0903606,Auto Stand
80.214961,13.0344197,Vellore to Chennai airport drop taxi
80.197473,12.926507,Pallikaranai Government School
80.128372,12.9372853,Sanatorium Auto Stand
80.263517,13.07898,Egmore North R.S.
80.242675,13.058287,Nungambakkam R.S.
80.247541,13.042119,Chennai
80.0795546,12.8732208,"New Mofussil Bus Terminus, vandalur"
80.2727417,13.0810573,Chennai Park Station local train platform 2
80.1332752,12.8383109,Unitech Bus Stop
80.2353584,13.0845726,Vincent Travels
80.1839066,13.0229549,Mayura travels
80.268966,13.0534665,Meesapet Market
80.1945771,13.0726786,Koyambedu Metro Station.
80.2077205,13.0540801,Dr. Ambedkar Auto Stand
80.282931,13.061208,Marina Beach
80.2655704,13.1233253,Mullai Nagar Depot
80.2422913,13.0538053,Valluvar Kottam
80.2130233,13.0079285,Guindy Railway Station
80.2545874,13.0609556,Madras Metro Commercial Taxes Staff Society
80.2486512,13.028946,Taxi Stand
80.1996983,13.0740961,IntrCity SmartBus Lounge - Chennai
80.2731513,13.043796,Inoda Auto Stand
80.262206,13.077914,Chennai Egmore
80.1989131,13.0698851,Madurai Balajee Transit Service Private Limited
80.2028362,13.0850124,Sonex Tower Nanbargal Auto Stand
80.271991,13.0322619,Goodwill Auto Stand
80.2815375,13.1032828,Swayam cabs
80.1954698,13.0694718,Alagappa Tours and Travel Pvt.Ltd
80.2903838,13.1166716,oldwashermenpet Bsnl Auto Stand
