Long,Lat,Name,,,,,,,,,,,,,,,,,,,,,,
80.2137207,12.9349721,Schools,,,,,,,,,,,,,,,,,,,,,,
80.1562634,12.9404319,Shikshaa Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2637605,13.0572479,Wesley Higher Secondary School Royapettah,,,,,,,,,,,,,,,,,,,,,,
80.2892073,13.0972033,"Loyola School, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.2566926,13.0393472,ANE International School,,,,,,,,,,,,,,,,,,,,,,
80.2474979,13.052164,Kenrich International School,,,,,,,,,,,,,,,,,,,,,,
80.2398729,13.1084016,St. Joseph's Anglo-Indian Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2617095,13.0728559,St Anthony's Anglo Indian High School,,,,,,,,,,,,,,,,,,,,,,
80.2296968,13.0730424,Chennai Primary School,,,,,,,,,,,,,,,,,,,,,,
80.2389452,13.080923,Cbse Schools,,,,,,,,,,,,,,,,,,,,,,
80.2613338,13.0817156,Agarwal Vidyalaya And Junior College,,,,,,,,,,,,,,,,,,,,,,
80.2541614,13.033432,Chennai Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.1968801,12.9007071,School,,,,,,,,,,,,,,,,,,,,,,
80.2408405,13.0515085,Vidyodaya Schools,,,,,,,,,,,,,,,,,,,,,,
80.2694577,13.0870508,MAHARISHI VIDYA MANDIR SENIOR SECONDARY SCHOOL,,,,,,,,,,,,,,,,,,,,,,
80.2546099,13.0849896,Cbse Schools,,,,,,,,,,,,,,,,,,,,,,
80.2622739,13.0835525,St.Christopher's Academy (CBSE),,,,,,,,,,,,,,,,,,,,,,
80.2320331,13.1207889,Chennai School,,,,,,,,,,,,,,,,,,,,,,
80.2405564,13.1194808,KRM Public School,,,,,,,,,,,,,,,,,,,,,,
80.2101922,13.0625589,SV High School Arumbakkam (Cambridge),,,,,,,,,,,,,,,,,,,,,,
80.2692808,13.066317,"St George school, kilpauk",,,,,,,,,,,,,,,,,,,,,,
80.1252025,12.8738603,FIITJEE Global School Chennai (Vengambakkam),,,,,,,,,,,,,,,,,,,,,,
80.2231931,13.0854196,Valliammal Matric Hr.Sec.School,,,,,,,,,,,,,,,,,,,,,,
80.2077509,13.0926539,"The Sun Smart Foundation International School - IGCSE (Cambridge) Syllabus | Anna Nagar, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.2520083,13.064001,Asan Memorial Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2136057,12.9342071,School...,,,,,,,,,,,,,,,,,,,,,,
80.206628,13.0307513,Sri Chaitanya school,,,,,,,,,,,,,,,,,,,,,,
80.1089269,13.0143157,Mangadu Public School,,,,,,,,,,,,,,,,,,,,,,
80.2423992,12.9582323,Abacus Montessori School,,,,,,,,,,,,,,,,,,,,,,
80.2627843,13.0898829,St Andrews high School,,,,,,,,,,,,,,,,,,,,,,
80.2516786,13.0801348,Kerala Vidhyalayam Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.164496,13.0830541,Green Valley Central School,,,,,,,,,,,,,,,,,,,,,,
80.2073419,13.0777983,NARAYANA E-TECHNO SCHOOL CBSE ARUMBAKKAM,,,,,,,,,,,,,,,,,,,,,,
80.2520065,13.0594054,School,,,,,,,,,,,,,,,,,,,,,,
80.2672861,13.0842962,Siddhartha International Public School,,,,,,,,,,,,,,,,,,,,,,
80.2587229,13.0859295,Doveton Girls Hr. Sec. School,,,,,,,,,,,,,,,,,,,,,,
80.2191404,12.9851621,Chennai Primary School,,,,,,,,,,,,,,,,,,,,,,
80.2086435,13.1340216,Chennai School,,,,,,,,,,,,,,,,,,,,,,
80.2605258,13.0251559,Chennai High School,,,,,,,,,,,,,,,,,,,,,,
80.2928377,13.1181541,Kalaimagal viddyalaya mat.hr.sec school,,,,,,,,,,,,,,,,,,,,,,
80.2513655,13.1322461,Narayana e-Techno School,,,,,,,,,,,,,,,,,,,,,,
80.2796351,13.1247134,Daniel Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2627775,12.9890799,Besant Arundale Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2895559,13.1204796,Model Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2938272,13.1371024,Chennai Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2537669,13.0997154,The Shri Ram Universal School,,,,,,,,,,,,,,,,,,,,,,
80.260057,13.0507347,School,,,,,,,,,,,,,,,,,,,,,,
80.2552007,13.0827637,Alagappa Schools,,,,,,,,,,,,,,,,,,,,,,
80.2385133,13.0689809,LADY ANDAL VENKATASUBBA RAO MATRICULATION SCHOOL,,,,,,,,,,,,,,,,,,,,,,
80.1331383,12.9455484,Indian Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2590988,13.0289004,Chennai Middle School,,,,,,,,,,,,,,,,,,,,,,
80.2624486,13.0878037,St. Paul's Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2462759,13.045085,Al Hira Model School,,,,,,,,,,,,,,,,,,,,,,
80.2507053,13.0637114,Crescent Matriculation Higher Secondary School For Girls,,,,,,,,,,,,,,,,,,,,,,
80.2602244,13.0877214,"The Salvation Army English Medium Higher Secondary School, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.2738872,13.0568587,SJNS JAIN NURSERY AND PRIMARY SCHOOL,,,,,,,,,,,,,,,,,,,,,,
80.249548,13.106233,White Gold Montessori School,,,,,,,,,,,,,,,,,,,,,,
80.2624486,13.0878037,St. Paul's Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2462759,13.045085,Al Hira Model School,,,,,,,,,,,,,,,,,,,,,,
80.2507053,13.0637114,Crescent Matriculation Higher Secondary School For Girls,,,,,,,,,,,,,,,,,,,,,,
80.2602244,13.0877214,"The Salvation Army English Medium Higher Secondary School, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.2738872,13.0568587,SJNS JAIN NURSERY AND PRIMARY SCHOOL,,,,,,,,,,,,,,,,,,,,,,
80.249548,13.106233,White Gold Montessori School,,,,,,,,,,,,,,,,,,,,,,
80.2775936,13.0873522,Manilal. M. Mehta Girls' Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2751379,13.0560634,The Kellett Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2769094,13.0963512,St. Peters School,,,,,,,,,,,,,,,,,,,,,,
80.2741383,13.0598938,Muslim Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.1570431,13.0110059,ORCHIDS The International School - CBSE School in Manapakkam,,,,,,,,,,,,,,,,,,,,,,
80.2578696,13.0530769,M.W.A. Matriculation & Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2255246,13.0469068,Chennai High School,,,,,,,,,,,,,,,,,,,,,,
80.1475548,12.9152282,Kendriya Vidyalaya No.1,,,,,,,,,,,,,,,,,,,,,,
80.263461,13.0512497,Sree Venkateswarar Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2702435,13.0554402,St Joseph's Matriculation School,,,,,,,,,,,,,,,,,,,,,,
80.2362927,13.0525685,"Navabharath Matriculation School, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.2472409,13.0491861,Bala Mandir School,,,,,,,,,,,,,,,,,,,,,,
79.9361908436614,12.842909757746,C.S.I. EWART MAT. HR. SEC SCHOOL,,,,,,,,79.9361908436614,13.252141042254,0,,80.4818325563386,13.252141042254,0,,80.4818325563386,12.842909757746,0,,79.9361908436614,12.842909757746,0)
80.2795964,13.0935494,Narayana group of school,,,,,,,,,,,,,,,,,,,,,,
80.2847542,13.0912584,St. Thomas Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2205877,13.0200534,CSI Primary School,,,,,,,,,,,,,,,,,,,,,,
80.2777796,13.0776589,"Kendriya Vidyalaya, Island Grounds, Chennai",,,,,,,,,,,,,,,,,,,,,,
80.277331,13.0886528,Sri L G G Mat Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2612026,13.072,Presentation Convent School,,,,,,,,,,,,,,,,,,,,,,
80.2770584,13.0869311,S M D Hindu Hr.Sec.School,,,,,,,,,,,,,,,,,,,,,,
80.2558185,13.088334,Satya Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.1427454,12.8486321,Colours Indian School,,,,,,,,,,,,,,,,,,,,,,
80.2584909,13.0894566,Don Bosco Nursery & Primary School,,,,,,,,,,,,,,,,,,,,,,
80.2571354,13.0286822,Chennai School,,,,,,,,,,,,,,,,,,,,,,
80.2839741,13.0962871,CSI Anderson Day Girls' Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.1287551,12.9603839,Shree Vidhyaalayaa Matriculation School,,,,,,,,,,,,,,,,,,,,,,
80.189533,13.1170073,abs global smart school,,,,,,,,,,,,,,,,,,,,,,
80.2562067,13.0874898,Tulsi Adarsh Vidya Mandir Nuesery&Primary School,,,,,,,,,,,,,,,,,,,,,,
80.2351467,13.0381209,C D N Theagraya Nagar Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2556938,13.0882997,Satya Nursery & Primary School & Satya Matric HR. Sec. School,,,,,,,,,,,,,,,,,,,,,,
80.1978076,13.127639,Padmashree School,,,,,,,,,,,,,,,,,,,,,,
80.2775811,13.0885818,S. S. V. Hr. Sec. School,,,,,,,,,,,,,,,,,,,,,,
80.2707833,13.0827135,Jeppiaar School Jeppiaar Nagar Semenjeri Chennai,,,,,,,,,,,,,,,,,,,,,,
80.2243619,13.0377725,JG Hindu Vidyalaya Primary School,,,,,,,,,,,,,,,,,,,,,,
80.2745632,13.064425,CHENNAI MIDDLE SCHOOL,,,,,,,,,,,,,,,,,,,,,,
80.2943846,13.1117123,St. Kevin's Anglo Indian Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2815034,13.0903235,SKPD Boys' Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.273389,13.0642242,D.Ahmed Ali Parpia Memorial Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.259161,13.0878202,Sri Muthukumaraswamy Devasthanam P Venugopal Chetty Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2600202,13.0822489,Anita Methodist School,,,,,,,,,,,,,,,,,,,,,,
80.2440315,13.0836761,Sri B.K. Kothari Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2775716,13.0879606,Lgg Matric Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2756782,13.0628727,Murthuzaviya Oriental Secondary High School,,,,,,,,,,,,,,,,,,,,,,
80.3043618,13.167826,Vellayan Chettiyar Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2548382,13.0918279,Malayala Vidyalayam High School,,,,,,,,,,,,,,,,,,,,,,
80.2706158,13.0826727,Gss jain vidyalaya,,,,,,,,,,,,,,,,,,,,,,
80.1977773,13.0839338,vigneshwara vidhyalaya nursery & primary school chennai,,,,,,,,,,,,,,,,,,,,,,
80.2752894,13.0651704,Eve Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.286752,13.0905643,St. Columban's A.I.Hr.Sec. School,,,,,,,,,,,,,,,,,,,,,,
80.2605326,13.0862147,"Bentinck School, Vepery",,,,,,,,,,,,,,,,,,,,,,
80.258718,13.0832159,DOVETON BOYS' AND GIRLS' SCHOOL (ICSE-NEW DELHI CURRICULUM),,,,,,,,,,,,,,,,,,,,,,
80.2929941,13.1161677,Chennai High School,,,,,,,,,,,,,,,,,,,,,,
80.2664537,13.0681765,Nathamuni Chetty Higher Seconday School,,,,,,,,,,,,,,,,,,,,,,
80.2544342,13.0807059,Sir M.Ct.Muthiah Chettiar Boys' Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2541082,13.089941,Chennai Middle School,,,,,,,,,,,,,,,,,,,,,,
80.2731734,13.0749821,The Chintadripet Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.274223,13.0606784,Hakeem Nursery & Primary School,,,,,,,,,,,,,,,,,,,,,,
80.1650829,13.0457229,Arulmigu Meenakshi Amman Public School,,,,,,,,,,,,,,,,,,,,,,
80.2898901,13.1164399,KC Sankaralinga Nadar Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2784888,13.0907875,A G Jain School,,,,,,,,,,,,,,,,,,,,,,
80.2842747,13.0904825,Hajee Essa Abba Saits Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2882177,13.1023912,MSB Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2932156,13.1455993,Madras School,,,,,,,,,,,,,,,,,,,,,,
80.2425896,13.1132372,St. Mary's Matriculation Boys Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2400406,13.074586,Auxilium Girls' Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2802564,13.0850273,Golden Palm Army Pre Primary School,,,,,,,,,,,,,,,,,,,,,,
80.2543129,13.0940272,Malayala Vidya primary School,,,,,,,,,,,,,,,,,,,,,,
80.2848555,13.0969741,St Columbus Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2756893,13.0992073,Dr . Gurusamy Mudaliar T.T.V. Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2663894,13.068257,R B A N C Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2544804,13.0730036,Isabel Nursery And primary School,,,,,,,,,,,,,,,,,,,,,,
80.2631384,13.086337,Narayana e-Techno School - Pattalam,,,,,,,,,,,,,,,,,,,,,,
80.2491498,13.082347,Shri M. Ct. Muthiah Memorial Matriculation Higher Secondary School,,,,,,,,,,,,,,,,,,,,,,
80.2791795,13.1319725,Chennai Port And Dock Educational Trust Higher Secondary School & Primary School,,,,,,,,,,,,,,,,,,,,,,
